fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA004011,05 Feb 23,1,regular,Round 1,Royal South Yarra Gold,Tennis World,9,1,5,1,,,34,20,Completed,
UA004012,05 Feb 23,1,regular,Round 1,Black Rock,Kooyong,3,7,3,3,,,28,30,Completed,
UA004013,05 Feb 23,1,regular,Round 1,Elsternwick Park,Centenary Park Blue,10,0,6,0,,,38,21,Completed,
UA004014,05 Feb 23,1,regular,Round 1,Glen Huntly,Murrumbeena,2,8,2,4,,,21,35,Completed,
UA004021,12 Feb 23,2,regular,Round 2,Murrumbeena,Royal South Yarra Gold,9,1,5,1,,,33,17,Completed,
UA004022,12 Feb 23,2,regular,Round 2,Tennis World,Black Rock,8,2,4,2,,,27,28,Completed,
UA004023,12 Feb 23,2,regular,Round 2,Kooyong,Elsternwick Park,5,5,3,3,,,29,29,Completed,
UA004024,12 Feb 23,2,regular,Round 2,Centenary Park Blue,Glen Huntly,2,8,2,4,,,25,28,Completed,
UA004031,19 Feb 23,3,regular,Round 3,Royal South Yarra Gold,Centenary Park Blue,2,8,2,4,,,15,32,Completed,
UA004032,19 Feb 23,3,regular,Round 3,Black Rock,Murrumbeena,1,9,1,5,,,14,31,Completed,
UA004033,19 Feb 23,3,regular,Round 3,Elsternwick Park,Tennis World,8,2,4,2,,,31,24,Completed,
UA004034,19 Feb 23,3,regular,Round 3,Glen Huntly,Kooyong,3,7,3,3,,,22,31,Completed,
UA004041,26 Feb 23,4,regular,Round 4,Kooyong,Royal South Yarra Gold,1,9,1,5,,,8,34,Completed,
UA004042,26 Feb 23,4,regular,Round 4,Centenary Park Blue,Black Rock,2,8,2,4,,,24,30,Completed,
UA004043,26 Feb 23,4,regular,Round 4,Murrumbeena,Elsternwick Park,8,2,4,2,,,34,24,Completed,
UA004044,26 Feb 23,4,regular,Round 4,Tennis World,Glen Huntly,2,8,2,4,,,20,35,Completed,
UA004051,05 Mar 23,5,regular,Round 5,Elsternwick Park,Glen Huntly,7,3,3,3,,,28,22,Completed,
UA004052,05 Mar 23,5,regular,Round 5,Murrumbeena,Centenary Park Blue,8,2,4,2,,,29,19,Completed,
UA004053,05 Mar 23,5,regular,Round 5,Kooyong,Tennis World,7,3,3,3,,,22,20,Completed,
UA004054,05 Mar 23,5,regular,Round 5,Royal South Yarra Gold,Black Rock,2,8,2,4,,,31,28,Completed,
UA004061,19 Mar 23,6,regular,Round 6,Black Rock,Elsternwick Park,1,9,1,5,,,19,35,Completed,
UA004062,19 Mar 23,6,regular,Round 6,Glen Huntly,Royal South Yarra Gold,2,8,2,4,,,29,29,Completed,
UA004063,19 Mar 23,6,regular,Round 6,Centenary Park Blue,Kooyong,3,7,3,3,,,24,28,Completed,
UA004064,19 Mar 23,6,regular,Round 6,Tennis World,Murrumbeena,0,10,0,6,,,14,37,Completed,
UA004071,26 Mar 23,7,regular,Round 7,Royal South Yarra Gold,Elsternwick Park,0,10,0,6,,,18,38,Completed,
UA004072,26 Mar 23,7,regular,Round 7,Black Rock,Glen Huntly,7,3,3,3,,,32,29,Completed,
UA004073,26 Mar 23,7,regular,Round 7,Murrumbeena,Kooyong,10,0,6,0,,,36,12,Completed,
UA004074,26 Mar 23,7,regular,Round 7,Centenary Park Blue,Tennis World,8,2,4,2,,,31,22,Completed,
UA004081,02 Apr 23,8,regular,Round 8,Tennis World,Royal South Yarra Gold,6,4,2,4,,,23,25,Completed,
UA004082,02 Apr 23,8,regular,Round 8,Kooyong,Black Rock,1,9,1,5,,,16,35,Completed,
UA004083,02 Apr 23,8,regular,Round 8,Centenary Park Blue,Elsternwick Park,3,7,3,3,,,28,29,Completed,
UA004084,02 Apr 23,8,regular,Round 8,Murrumbeena,Glen Huntly,9,1,5,1,,,36,23,Completed,
UA004091,30 Apr 23,9,regular,Round 9,Royal South Yarra Gold,Murrumbeena,1,9,1,5,,,13,34,Completed,
UA004092,30 Apr 23,9,regular,Round 9,Black Rock,Tennis World,3,7,3,3,,,20,21,Completed,
UA004093,30 Apr 23,9,regular,Round 9,Elsternwick Park,Kooyong,10,0,6,0,,,36,7,Completed,
UA004094,30 Apr 23,9,regular,Round 9,Glen Huntly,Centenary Park Blue,2,8,2,4,,,21,28,Completed,
pending-ua004-r10-centenary-park-blue-royal-south-yarra-gold,07 May 23,10,regular,Round 10,Centenary Park Blue,Royal South Yarra Gold,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua004-r10-kooyong-glen-huntly,07 May 23,10,regular,Round 10,Kooyong,Glen Huntly,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua004-r10-murrumbeena-black-rock,07 May 23,10,regular,Round 10,Murrumbeena,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
