fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA006011,18 Jul 26,1,Mentone Green,Mentone Gold,2,8,2,4,,,25,29,Completed,
AA006012,18 Jul 26,1,St Pauls,Parkdale,8,2,4,2,,,33,23,Completed,
AA006013,18 Jul 26,1,Sandringham,Highmoor Uniting,10,0,6,0,,,38,17,Completed,
AA006014,18 Jul 26,1,Mordialloc,Dendy Park,3,7,3,3,,,28,29,Completed,
AA006021,25 Jul 26,2,Dendy Park,Mentone Green,7,3,3,3,,,28,26,Completed,
AA006022,25 Jul 26,2,Mentone Gold,St Pauls,9,1,5,1,,,34,18,Completed,
AA006023,25 Jul 26,2,Parkdale,Sandringham,1,9,1,5,,,20,37,Completed,
AA006024,25 Jul 26,2,Highmoor Uniting,Mordialloc,9,1,5,1,,,33,16,Completed,
AA006031,1 Aug 26,3,Mentone Green,Highmoor Uniting,8,2,4,2,,,24,21,Completed,
AA006032,1 Aug 26,3,St Pauls,Dendy Park,7,3,3,3,,,32,22,Completed,
AA006033,1 Aug 26,3,Sandringham,Mentone Gold,9,1,5,1,,,34,25,Completed,
AA006034,1 Aug 26,3,Mordialloc,Parkdale,1,9,1,5,,,21,34,Completed,
AA006041,8 Aug 26,4,Parkdale,Mentone Green,3,7,3,3,,,24,28,Completed,
AA006042,8 Aug 26,4,Highmoor Uniting,St Pauls,3,7,3,3,,,22,30,Completed,
AA006043,8 Aug 26,4,Dendy Park,Sandringham,8,2,4,2,,,31,24,Completed,
AA006044,8 Aug 26,4,Mentone Gold,Mordialloc,9,1,5,1,,,35,13,Completed,
AA006051,15 Aug 26,5,Sandringham,Mordialloc,10,0,6,0,,,36,13,Completed,
AA006052,15 Aug 26,5,Dendy Park,Highmoor Uniting,8,2,4,2,,,28,22,Completed,
AA006053,15 Aug 26,5,Parkdale,Mentone Gold,2,8,2,4,,,27,32,Completed,
AA006054,15 Aug 26,5,Mentone Green,St Pauls,2,8,2,4,,,26,35,Completed,
AA006061,22 Aug 26,6,St Pauls,Sandringham,1,9,1,5,,,18,33,Completed,
AA006062,22 Aug 26,6,Mordialloc,Mentone Green,2,8,2,4,,,18,29,Completed,
AA006064,22 Aug 26,6,Mentone Gold,Dendy Park,8,2,4,2,,,30,23,Completed,
pending-aa006-r6-highmoor-uniting-parkdale,22 Aug 26,6,Highmoor Uniting,Parkdale,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA006071,29 Aug 26,7,Mentone Green,Sandringham,1,9,1,5,,,18,36,Completed,
AA006072,29 Aug 26,7,St Pauls,Mordialloc,9,1,5,1,,,35,24,Completed,
AA006073,29 Aug 26,7,Dendy Park,Parkdale,2,8,2,4,,,22,33,Completed,
AA006074,29 Aug 26,7,Highmoor Uniting,Mentone Gold,3,7,3,3,,,24,30,Completed,
pending-aa006-r8-dendy-park-mordialloc,5 Sep 26,8,Dendy Park,Mordialloc,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa006-r8-highmoor-uniting-sandringham,5 Sep 26,8,Highmoor Uniting,Sandringham,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa006-r8-mentone-gold-mentone-green,5 Sep 26,8,Mentone Gold,Mentone Green,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa006-r8-parkdale-st-pauls,5 Sep 26,8,Parkdale,St Pauls,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA006091,12 Sep 26,9,Mentone Green,Dendy Park,8,2,4,2,,,26,25,Completed,
AA006092,12 Sep 26,9,St Pauls,Mentone Gold,9,1,5,1,,,35,19,Completed,
AA006093,12 Sep 26,9,Sandringham,Parkdale,7,3,3,3,,,26,23,Completed,
AA006094,12 Sep 26,9,Mordialloc,Highmoor Uniting,2,8,2,4,,,29,28,Completed,
