fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA003011,21 Jul 19,1,regular,Round 1,BLTC 1,BLTC 2,3,7,3,3,,,29,32,Completed,
UA003012,21 Jul 19,1,regular,Round 1,Tennis World,Coatesville,3,7,3,3,,,31,32,Completed,
UA003014,21 Jul 19,1,regular,Round 1,Highett,Elsternwick Park,7,3,3,3,,,24,21,Completed,
pending-ua003-r1-bye-kooyong,21 Jul 19,1,regular,Round 1,Bye,Kooyong,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003021,28 Jul 19,2,regular,Round 2,Elsternwick Park,BLTC 1,9,1,5,1,,,33,20,Completed,
UA003022,28 Jul 19,2,regular,Round 2,BLTC 2,Tennis World,9,1,5,1,,,36,16,Completed,
UA003024,28 Jul 19,2,regular,Round 2,Kooyong,Highett,8,2,4,2,,,33,17,Completed,
pending-ua003-r2-coatesville-bye,28 Jul 19,2,regular,Round 2,Coatesville,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003031,04 Aug 19,3,regular,Round 3,BLTC 1,Kooyong,3,7,3,3,,,28,29,Completed,
UA003032,04 Aug 19,3,regular,Round 3,Tennis World,Elsternwick Park,1,9,1,5,,,13,36,Completed,
UA003034,04 Aug 19,3,regular,Round 3,Highett,Coatesville,0,10,0,6,,,10,36,Completed,
pending-ua003-r3-bye-bltc-2,04 Aug 19,3,regular,Round 3,Bye,BLTC 2,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua003-r4-bltc-2-highett,11 Aug 19,4,regular,Round 4,BLTC 2,Highett,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua003-r4-coatesville-bltc-1,11 Aug 19,4,regular,Round 4,Coatesville,BLTC 1,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua003-r4-elsternwick-park-bye,11 Aug 19,4,regular,Round 4,Elsternwick Park,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua003-r4-kooyong-tennis-world,11 Aug 19,4,regular,Round 4,Kooyong,Tennis World,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA003052,18 Aug 19,5,regular,Round 5,Elsternwick Park,Kooyong,2,8,2,4,,,27,30,Completed,
UA003053,18 Aug 19,5,regular,Round 5,Coatesville,BLTC 2,1,9,1,5,,,18,35,Completed,
UA003054,18 Aug 19,5,regular,Round 5,BLTC 1,Tennis World,8,2,4,2,,,32,19,Completed,
pending-ua003-r5-bye-highett,18 Aug 19,5,regular,Round 5,Bye,Highett,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003062,25 Aug 19,6,regular,Round 6,Highett,BLTC 1,1,9,1,5,,,25,33,Completed,
UA003063,25 Aug 19,6,regular,Round 6,Kooyong,Coatesville,10,0,6,0,,,36,12,Completed,
UA003064,25 Aug 19,6,regular,Round 6,BLTC 2,Elsternwick Park,3,7,3,3,,,26,28,Completed,
pending-ua003-r6-tennis-world-bye,25 Aug 19,6,regular,Round 6,Tennis World,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003072,01 Sep 19,7,regular,Round 7,Tennis World,Highett,9,1,5,1,,,33,14,Completed,
UA003073,01 Sep 19,7,regular,Round 7,Elsternwick Park,Coatesville,10,0,6,0,,,37,16,Completed,
UA003074,01 Sep 19,7,regular,Round 7,Kooyong,BLTC 2,8,2,4,2,,,32,20,Completed,
pending-ua003-r7-bltc-1-bye,01 Sep 19,7,regular,Round 7,BLTC 1,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003081,08 Sep 19,8,regular,Round 8,BLTC 2,BLTC 1,3,7,3,3,,,28,30,Completed,
UA003082,08 Sep 19,8,regular,Round 8,Coatesville,Tennis World,2,8,2,4,,,19,32,Completed,
UA003084,08 Sep 19,8,regular,Round 8,Elsternwick Park,Highett,8,2,4,2,,,32,22,Completed,
pending-ua003-r8-kooyong-bye,08 Sep 19,8,regular,Round 8,Kooyong,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003091,15 Sep 19,9,regular,Round 9,BLTC 1,Elsternwick Park,0,10,0,6,,,13,36,Completed,
UA003094,15 Sep 19,9,regular,Round 9,Highett,Kooyong,3,7,3,3,,,26,28,Completed,
pending-ua003-r9-bye-coatesville,15 Sep 19,9,regular,Round 9,Bye,Coatesville,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua003-r9-tennis-world-bltc-2,15 Sep 19,9,regular,Round 9,Tennis World,BLTC 2,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA003101,13 Oct 19,10,regular,Round 10,Kooyong,BLTC 1,10,0,6,0,,,37,13,Completed,
UA003102,13 Oct 19,10,regular,Round 10,Elsternwick Park,Tennis World,9,1,5,1,,,33,17,Completed,
UA003104,13 Oct 19,10,regular,Round 10,Coatesville,Highett,8,2,4,2,,,32,28,Completed,
pending-ua003-r10-bltc-2-bye,13 Oct 19,10,regular,Round 10,BLTC 2,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003111,20 Oct 19,11,regular,Round 11,BLTC 1,Coatesville,8,2,4,2,,,29,17,Completed,
UA003112,20 Oct 19,11,regular,Round 11,Tennis World,Kooyong,1,9,1,5,,,28,36,Completed,
UA003114,20 Oct 19,11,regular,Round 11,Highett,BLTC 2,8,2,4,2,,,29,21,Completed,
pending-ua003-r11-bye-elsternwick-park,20 Oct 19,11,regular,Round 11,Bye,Elsternwick Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003122,27 Oct 19,12,regular,Round 12,Kooyong,Elsternwick Park,3,7,3,3,,,20,27,Completed,
UA003123,27 Oct 19,12,regular,Round 12,BLTC 2,Coatesville,8,2,4,2,,,30,21,Completed,
UA003124,27 Oct 19,12,regular,Round 12,Tennis World,BLTC 1,7,3,3,3,,,26,24,Completed,
pending-ua003-r12-highett-bye,27 Oct 19,12,regular,Round 12,Highett,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003132,10 Nov 19,13,regular,Round 13,BLTC 1,Highett,8,2,4,2,,,28,18,Completed,
UA003133,10 Nov 19,13,regular,Round 13,Coatesville,Kooyong,2,8,2,4,,,20,34,Completed,
UA003134,10 Nov 19,13,regular,Round 13,Elsternwick Park,BLTC 2,8,2,4,2,,,28,15,Completed,
pending-ua003-r13-bye-tennis-world,10 Nov 19,13,regular,Round 13,Bye,Tennis World,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003142,17 Nov 19,14,regular,Round 14,Highett,Tennis World,9,1,5,1,,,33,13,Completed,
UA003143,17 Nov 19,14,regular,Round 14,Coatesville,Elsternwick Park,0,10,0,6,,,23,38,Completed,
UA003144,17 Nov 19,14,regular,Round 14,BLTC 2,Kooyong,2,8,2,4,,,27,33,Completed,
pending-ua003-r14-bye-bltc-1,17 Nov 19,14,regular,Round 14,Bye,BLTC 1,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA003301,,16,semi_final,Semi-final,Elsternwick Park,BLTC 1,10,0,6,0,,,38,23,Completed,
UA003302,,16,semi_final,Semi-final,Kooyong,BLTC 2,9,1,5,1,,,34,17,Completed,
UA003321,,17,grand_final,Grand final · TROLS entry 2,Elsternwick Park,Kooyong,1,9,1,5,,,21,35,Completed,
