fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA002011,27 Jul 25,1,regular,Round 1,Mentone,BLTC,7,3,3,3,,,31,26,Completed,
UA002013,27 Jul 25,1,regular,Round 1,Hurlingham Park,Le Page,10,0,6,0,,,36,16,Completed,
UA002014,27 Jul 25,1,regular,Round 1,Murrumbeena,Elsternwick Park,8,2,4,2,,,36,26,Completed,
pending-ua002-r1-kings-park-bye,27 Jul 25,1,regular,Round 1,Kings Park,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002021,03 Aug 25,2,regular,Round 2,Elsternwick Park,Mentone,9,1,5,1,,,31,16,Completed,
UA002022,03 Aug 25,2,regular,Round 2,BLTC,Kings Park,3,7,3,3,,,27,30,Completed,
UA002024,03 Aug 25,2,regular,Round 2,Le Page,Murrumbeena,2,8,2,4,,,19,26,Completed,
pending-ua002-r2-bye-hurlingham-park,03 Aug 25,2,regular,Round 2,Bye,Hurlingham Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002031,10 Aug 25,3,regular,Round 3,Mentone,Le Page,0,10,0,6,,,20,38,Completed,
UA002032,10 Aug 25,3,regular,Round 3,Kings Park,Elsternwick Park,8,2,4,2,,,30,26,Completed,
UA002033,10 Aug 25,3,regular,Round 3,Hurlingham Park,BLTC,2,8,2,4,,,27,29,Completed,
pending-ua002-r3-murrumbeena-bye,10 Aug 25,3,regular,Round 3,Murrumbeena,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002042,17 Aug 25,4,regular,Round 4,Le Page,Kings Park,8,2,4,2,,,27,24,Completed,
UA002043,17 Aug 25,4,regular,Round 4,Elsternwick Park,Hurlingham Park,3,7,3,3,,,28,31,Completed,
UA002044,17 Aug 25,4,regular,Round 4,BLTC,Murrumbeena,2,8,2,4,,,18,28,Completed,
pending-ua002-r4-bye-mentone,17 Aug 25,4,regular,Round 4,Bye,Mentone,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002051,24 Aug 25,5,regular,Round 5,Hurlingham Park,Murrumbeena,7,3,3,3,,,28,25,Completed,
UA002052,24 Aug 25,5,regular,Round 5,Elsternwick Park,Le Page,7,3,3,3,,,28,25,Completed,
UA002054,24 Aug 25,5,regular,Round 5,Mentone,Kings Park,8,2,4,2,,,35,24,Completed,
pending-ua002-r5-bye-bltc,24 Aug 25,5,regular,Round 5,Bye,BLTC,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002061,31 Aug 25,6,regular,Round 6,Kings Park,Hurlingham Park,8,2,4,2,,,32,27,Completed,
UA002062,31 Aug 25,6,regular,Round 6,Murrumbeena,Mentone,2,8,2,4,,,31,33,Completed,
UA002064,31 Aug 25,6,regular,Round 6,BLTC,Elsternwick Park,2,8,2,4,,,20,31,Completed,
pending-ua002-r6-le-page-bye,31 Aug 25,6,regular,Round 6,Le Page,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA002071,07 Sep 25,7,regular,Round 7,Mentone,Hurlingham Park,7,3,3,3,,,29,23,Completed,
