fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA016011,19 Jul 26,1,Lauriston,St Pats Mentone,9,1,5,1,,,32,19,Completed,
UA016012,19 Jul 26,1,Dendy Park,Kooyong,8,2,4,2,,,29,14,Completed,
UA016013,19 Jul 26,1,Kings Park,Elsternwick Park,9,1,5,1,,,35,22,Completed,
UA016014,19 Jul 26,1,Highett,Murrumbeena,3,7,3,3,,,23,26,Completed,
UA016021,26 Jul 26,2,Murrumbeena,Lauriston,1,9,1,5,,,26,35,Completed,
UA016022,26 Jul 26,2,St Pats Mentone,Dendy Park,9,1,5,1,,,37,20,Completed,
UA016023,26 Jul 26,2,Kooyong,Kings Park,8,2,4,2,,,31,22,Completed,
UA016024,26 Jul 26,2,Elsternwick Park,Highett,8,2,4,2,,,33,27,Completed,
UA016031,2 Aug 26,3,Lauriston,Elsternwick Park,9,1,5,1,,,31,22,Completed,
UA016032,2 Aug 26,3,Dendy Park,Murrumbeena,8,2,4,2,,,29,26,Completed,
UA016033,2 Aug 26,3,Kings Park,St Pats Mentone,9,1,5,1,,,34,17,Completed,
UA016034,2 Aug 26,3,Highett,Kooyong,3,7,3,3,,,26,28,Completed,
UA016041,9 Aug 26,4,Kooyong,Lauriston,5,5,3,3,,,24,24,Completed,
UA016042,9 Aug 26,4,Elsternwick Park,Dendy Park,7,3,3,3,,,31,28,Completed,
UA016043,9 Aug 26,4,Murrumbeena,Kings Park,8,2,4,2,,,29,21,Completed,
pending-ua016-r4-st-pats-mentone-highett,9 Aug 26,4,St Pats Mentone,Highett,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA016051,16 Aug 26,5,Kings Park,Highett,3,7,3,3,,,21,28,Completed,
UA016052,16 Aug 26,5,Murrumbeena,Elsternwick Park,8,2,4,2,,,32,22,Completed,
UA016054,16 Aug 26,5,Lauriston,Dendy Park,9,1,5,1,,,33,18,Completed,
pending-ua016-r5-kooyong-st-pats-mentone,16 Aug 26,5,Kooyong,St Pats Mentone,,,,,,,,,Forfeited To,No individual scorecard / no rubbers recorded
UA016061,23 Aug 26,6,Dendy Park,Kings Park,2,8,2,4,,,26,34,Completed,
UA016062,23 Aug 26,6,Highett,Lauriston,8,2,4,2,,,27,27,Completed,
UA016063,23 Aug 26,6,Elsternwick Park,Kooyong,2,8,2,4,,,29,31,Completed,
UA016064,23 Aug 26,6,St Pats Mentone,Murrumbeena,2,8,2,4,,,24,30,Completed,
UA016071,30 Aug 26,7,Lauriston,Kings Park,2,8,2,4,,,20,27,Completed,
UA016072,30 Aug 26,7,Dendy Park,Highett,10,0,6,0,,,37,16,Completed,
UA016073,30 Aug 26,7,Murrumbeena,Kooyong,2,8,2,4,,,20,29,Completed,
UA016074,30 Aug 26,7,Elsternwick Park,St Pats Mentone,0,10,0,6,,,19,37,Completed,
UA016081,6 Sep 26,8,St Pats Mentone,Lauriston,2,8,2,4,,,20,30,Completed,
UA016082,6 Sep 26,8,Kooyong,Dendy Park,8,2,4,2,,,31,23,Completed,
UA016083,6 Sep 26,8,Elsternwick Park,Kings Park,8,2,4,2,,,27,26,Completed,
UA016084,6 Sep 26,8,Murrumbeena,Highett,2,8,2,4,,,26,27,Completed,
UA016091,13 Sep 26,9,Lauriston,Murrumbeena,9,1,5,1,,,35,19,Completed,
UA016092,13 Sep 26,9,Dendy Park,St Pats Mentone,3,7,3,3,,,24,30,Completed,
UA016093,13 Sep 26,9,Kings Park,Kooyong,7,3,3,3,,,26,25,Completed,
UA016094,13 Sep 26,9,Highett,Elsternwick Park,10,0,6,0,,,36,9,Completed,
