fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA013011,18 Jul 26,1,regular,Round 1,Coatesville Blue,Coatesville White,9,1,5,1,,,34,16,Completed,
AA013012,18 Jul 26,1,regular,Round 1,Clarinda,St James,9,1,5,1,,,35,20,Completed,
AA013013,18 Jul 26,1,regular,Round 1,St Pauls,St Joan of Arc,10,0,6,0,,,36,12,Completed,
AA013021,25 Jul 26,2,regular,Round 2,St Joan of Arc,Coatesville Blue,3,7,3,3,,,26,27,Completed,
AA013022,25 Jul 26,2,regular,Round 2,St James,St Pauls,0,10,0,6,,,18,36,Completed,
AA013023,25 Jul 26,2,regular,Round 2,Coatesville White,Clarinda,2,8,2,4,,,18,30,Completed,
AA013031,01 Aug 26,3,regular,Round 3,Coatesville Blue,Clarinda,2,8,2,4,,,18,30,Completed,
AA013032,01 Aug 26,3,regular,Round 3,St Pauls,Coatesville White,10,0,6,0,,,36,12,Completed,
AA013033,01 Aug 26,3,regular,Round 3,St Joan of Arc,St James,3,7,3,3,,,27,29,Completed,
AA013041,08 Aug 26,4,regular,Round 4,St James,Coatesville Blue,8,2,4,2,,,30,20,Completed,
AA013042,08 Aug 26,4,regular,Round 4,Coatesville White,St Joan of Arc,8,2,4,2,,,29,23,Completed,
AA013043,08 Aug 26,4,regular,Round 4,Clarinda,St Pauls,1,9,1,5,,,16,33,Completed,
AA013051,15 Aug 26,5,regular,Round 5,Coatesville Blue,St Pauls,0,10,0,6,,,14,36,Completed,
AA013052,15 Aug 26,5,regular,Round 5,St James,Coatesville White,10,0,6,0,,,36,13,Completed,
AA013053,15 Aug 26,5,regular,Round 5,St Joan of Arc,Clarinda,5,5,3,3,,,25,25,Completed,
AA013061,22 Aug 26,6,regular,Round 6,Coatesville White,Coatesville Blue,7,3,3,3,,,29,23,Completed,
AA013062,22 Aug 26,6,regular,Round 6,St James,Clarinda,1,9,1,5,,,14,33,Completed,
AA013063,22 Aug 26,6,regular,Round 6,St Joan of Arc,St Pauls,0,10,0,6,,,14,36,Completed,
AA013071,29 Aug 26,7,regular,Round 7,Coatesville Blue,St Joan of Arc,7,3,3,3,,,28,22,Completed,
AA013072,29 Aug 26,7,regular,Round 7,St Pauls,St James,8,2,4,2,,,34,22,Completed,
AA013073,29 Aug 26,7,regular,Round 7,Clarinda,Coatesville White,7,3,3,3,,,26,21,Completed,
pending-aa013-r8-clarinda-coatesville-blue,05 Sep 26,8,regular,Round 8,Clarinda,Coatesville Blue,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa013-r8-coatesville-white-st-pauls,05 Sep 26,8,regular,Round 8,Coatesville White,St Pauls,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa013-r8-st-james-st-joan-of-arc,05 Sep 26,8,regular,Round 8,St James,St Joan of Arc,,,,,,,,,Missing Result,No individual scorecard / no rubbers recorded
AA013091,12 Sep 26,9,regular,Round 9,Coatesville Blue,St James,5,5,3,3,,,22,22,Completed,
AA013092,12 Sep 26,9,regular,Round 9,St Joan of Arc,Coatesville White,10,0,6,0,,,36,15,Completed,
AA013093,12 Sep 26,9,regular,Round 9,St Pauls,Clarinda,7,3,3,3,,,26,23,Completed,
