fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA023011,23 Gre 21,1,regular,Round 1,Kings Park 1,Glen Eira,8,2,4,2,,,30,26,Completed,
UA023012,23 Gre 21,1,regular,Round 1,Kings Park 2,Elsternwick Park,1,9,1,5,,,13,34,Completed,
UA023013,23 Gre 21,1,regular,Round 1,Parkdale,Aspendale,9,1,5,1,,,30,16,Completed,
UA023014,23 Gre 21,1,regular,Round 1,Black Rock,Le Page,10,0,6,0,,,36,2,Completed,
UA023021,28 Jul 19,2,regular,Round 2,Le Page,Kings Park 1,2,8,2,4,,,18,27,Completed,
UA023022,28 Jul 19,2,regular,Round 2,Glen Eira,Kings Park 2,9,1,5,1,,,33,11,Completed,
UA023023,28 Jul 19,2,regular,Round 2,Elsternwick Park,Parkdale,10,0,6,0,,,36,6,Completed,
UA023024,28 Jul 19,2,regular,Round 2,Aspendale,Black Rock,2,8,2,4,,,21,24,Completed,
UA023031,04 Aug 19,3,regular,Round 3,Kings Park 1,Aspendale,9,1,5,1,,,36,23,Completed,
UA023032,04 Aug 19,3,regular,Round 3,Kings Park 2,Le Page,7,3,3,3,,,24,22,Completed,
UA023033,04 Aug 19,3,regular,Round 3,Parkdale,Glen Eira,1,9,1,5,,,18,33,Completed,
UA023034,04 Aug 19,3,regular,Round 3,Black Rock,Elsternwick Park,2,8,2,4,,,20,31,Completed,
UA023041,11 Aug 19,4,regular,Round 4,Elsternwick Park,Kings Park 1,9,1,5,1,,,33,7,Completed,
pending-ua023-r4-aspendale-kings-park-2,11 Aug 19,4,regular,Round 4,Aspendale,Kings Park 2,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua023-r4-glen-eira-black-rock,11 Aug 19,4,regular,Round 4,Glen Eira,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua023-r4-le-page-parkdale,11 Aug 19,4,regular,Round 4,Le Page,Parkdale,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA023051,18 Aug 19,5,regular,Round 5,Parkdale,Black Rock,8,2,4,2,,,31,20,Completed,
UA023052,18 Aug 19,5,regular,Round 5,Le Page,Aspendale,2,8,2,4,,,27,36,Completed,
UA023053,18 Aug 19,5,regular,Round 5,Elsternwick Park,Glen Eira,9,1,5,1,,,32,10,Completed,
UA023054,18 Aug 19,5,regular,Round 5,Kings Park 1,Kings Park 2,9,1,5,1,,,35,14,Completed,
UA023061,25 Aug 19,6,regular,Round 6,Kings Park 2,Parkdale,1,9,1,5,,,21,32,Completed,
UA023062,25 Aug 19,6,regular,Round 6,Black Rock,Kings Park 1,1,9,1,5,,,25,37,Completed,
UA023063,25 Aug 19,6,regular,Round 6,Aspendale,Elsternwick Park,0,10,0,6,,,11,36,Completed,
UA023064,25 Aug 19,6,regular,Round 6,Glen Eira,Le Page,9,1,5,1,,,33,15,Completed,
UA023071,01 Sep 19,7,regular,Round 7,Kings Park 1,Parkdale,8,2,4,2,,,28,22,Completed,
UA023072,01 Sep 19,7,regular,Round 7,Kings Park 2,Black Rock,1,9,1,5,,,17,33,Completed,
UA023073,01 Sep 19,7,regular,Round 7,Le Page,Elsternwick Park,0,10,0,6,,,4,36,Completed,
UA023074,01 Sep 19,7,regular,Round 7,Aspendale,Glen Eira,8,2,4,2,,,31,28,Completed,
UA023081,08 Sep 19,8,regular,Round 8,Glen Eira,Kings Park 1,3,7,3,3,,,20,27,Completed,
UA023082,08 Sep 19,8,regular,Round 8,Elsternwick Park,Kings Park 2,10,0,6,0,,,36,4,Completed,
UA023083,08 Sep 19,8,regular,Round 8,Aspendale,Parkdale,8,2,4,2,,,27,26,Completed,
UA023084,08 Sep 19,8,regular,Round 8,Le Page,Black Rock,2,8,2,4,,,20,30,Completed,
UA023091,15 Sep 19,9,regular,Round 9,Kings Park 1,Le Page,9,1,5,1,,,35,14,Completed,
UA023092,15 Sep 19,9,regular,Round 9,Kings Park 2,Glen Eira,0,10,0,6,,,10,36,Completed,
UA023093,15 Sep 19,9,regular,Round 9,Parkdale,Elsternwick Park,1,9,1,5,,,16,30,Completed,
UA023094,15 Sep 19,9,regular,Round 9,Black Rock,Aspendale,7,3,3,3,,,30,26,Completed,
UA023101,13 Oct 19,10,regular,Round 10,Aspendale,Kings Park 1,2,8,2,4,,,25,30,Completed,
UA023102,13 Oct 19,10,regular,Round 10,Le Page,Kings Park 2,1,9,1,5,,,13,31,Completed,
UA023103,13 Oct 19,10,regular,Round 10,Glen Eira,Parkdale,1,9,1,5,,,12,34,Completed,
UA023104,13 Oct 19,10,regular,Round 10,Elsternwick Park,Black Rock,10,0,6,0,,,36,6,Completed,
UA023111,20 Oct 19,11,regular,Round 11,Kings Park 1,Elsternwick Park,1,9,1,5,,,15,33,Completed,
UA023112,20 Oct 19,11,regular,Round 11,Kings Park 2,Aspendale,9,1,5,1,,,32,20,Completed,
UA023113,20 Oct 19,11,regular,Round 11,Parkdale,Le Page,9,1,5,1,,,34,15,Completed,
UA023114,20 Oct 19,11,regular,Round 11,Black Rock,Glen Eira,1,9,1,5,,,21,33,Completed,
UA023121,27 Oct 19,12,regular,Round 12,Black Rock,Parkdale,0,10,0,6,,,22,37,Completed,
UA023122,27 Oct 19,12,regular,Round 12,Aspendale,Le Page,10,0,6,0,,,36,7,Completed,
UA023123,27 Oct 19,12,regular,Round 12,Glen Eira,Elsternwick Park,1,9,1,5,,,15,33,Completed,
UA023124,27 Oct 19,12,regular,Round 12,Kings Park 2,Kings Park 1,0,10,0,6,,,14,37,Completed,
UA023131,10 Nov 19,13,regular,Round 13,Parkdale,Kings Park 2,8,2,4,2,,,32,21,Completed,
UA023132,10 Nov 19,13,regular,Round 13,Kings Park 1,Black Rock,7,3,3,3,,,33,26,Completed,
UA023133,10 Nov 19,13,regular,Round 13,Elsternwick Park,Aspendale,9,1,5,1,,,33,10,Completed,
UA023134,10 Nov 19,13,regular,Round 13,Le Page,Glen Eira,1,9,1,5,,,15,34,Completed,
UA023141,17 Nov 19,14,regular,Round 14,Parkdale,Kings Park 1,10,0,6,0,,,36,12,Completed,
UA023142,17 Nov 19,14,regular,Round 14,Black Rock,Kings Park 2,9,1,5,1,,,33,20,Completed,
UA023143,17 Nov 19,14,regular,Round 14,Elsternwick Park,Le Page,10,0,6,0,,,36,4,Completed,
UA023144,17 Nov 19,14,regular,Round 14,Glen Eira,Aspendale,1,9,1,5,,,30,36,Completed,
UA023301,,16,semi_final,Semi-final,Elsternwick Park,Glen Eira,10,0,6,0,,,36,9,Completed,
UA023302,,16,semi_final,Semi-final,Kings Park 1,Parkdale,0,10,0,6,,,12,37,Completed,
UA023321,,17,grand_final,Grand final · TROLS entry 2,Elsternwick Park,Parkdale,10,0,6,0,,,37,24,Completed,
