fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA014012,06 Feb 22,1,regular,Round 1,Parkdale,GPHC 2,9,1,5,1,,,34,26,Completed,
UA014013,06 Feb 22,1,regular,Round 1,Le Page,GPHC 1,1,9,1,5,,,22,32,Completed,
UA014014,06 Feb 22,1,regular,Round 1,Aspendale,Elsternwick Park,8,2,4,2,,,31,18,Completed,
pending-ua014-r1-kings-park-blue-bye,06 Feb 22,1,regular,Round 1,Kings Park Blue,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014021,13 Feb 22,2,regular,Round 2,Elsternwick Park,Kings Park Blue,8,2,4,2,,,33,28,Completed,
UA014023,13 Feb 22,2,regular,Round 2,GPHC 2,Le Page,7,3,3,3,,,28,24,Completed,
UA014024,13 Feb 22,2,regular,Round 2,GPHC 1,Aspendale,8,2,4,2,,,31,27,Completed,
pending-ua014-r2-bye-parkdale,13 Feb 22,2,regular,Round 2,Bye,Parkdale,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014031,20 Feb 22,3,regular,Round 3,Kings Park Blue,GPHC 1,9,1,5,1,,,34,19,Completed,
UA014032,20 Feb 22,3,regular,Round 3,Parkdale,Elsternwick Park,8,2,4,2,,,28,23,Completed,
UA014034,20 Feb 22,3,regular,Round 3,Aspendale,GPHC 2,2,8,2,4,,,26,32,Completed,
pending-ua014-r3-le-page-bye,20 Feb 22,3,regular,Round 3,Le Page,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014041,27 Feb 22,4,regular,Round 4,GPHC 2,Kings Park Blue,2,8,2,4,,,15,33,Completed,
UA014042,27 Feb 22,4,regular,Round 4,GPHC 1,Parkdale,2,8,2,4,,,21,28,Completed,
UA014043,27 Feb 22,4,regular,Round 4,Elsternwick Park,Le Page,3,7,3,3,,,24,25,Completed,
pending-ua014-r4-bye-aspendale,27 Feb 22,4,regular,Round 4,Bye,Aspendale,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014051,06 Mar 22,5,regular,Round 5,Le Page,Aspendale,0,10,0,6,,,14,37,Completed,
UA014052,06 Mar 22,5,regular,Round 5,Elsternwick Park,GPHC 1,3,7,3,3,,,21,22,Completed,
UA014054,06 Mar 22,5,regular,Round 5,Kings Park Blue,Parkdale,3,7,3,3,,,26,28,Completed,
pending-ua014-r5-gphc-2-bye,06 Mar 22,5,regular,Round 5,GPHC 2,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014062,20 Mar 22,6,regular,Round 6,Aspendale,Kings Park Blue,0,10,0,6,,,12,36,Completed,
UA014063,20 Mar 22,6,regular,Round 6,GPHC 1,GPHC 2,9,1,5,1,,,32,17,Completed,
pending-ua014-r6-bye-elsternwick-park,20 Mar 22,6,regular,Round 6,Bye,Elsternwick Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua014-r6-parkdale-le-page,20 Mar 22,6,regular,Round 6,Parkdale,Le Page,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
UA014071,27 Mar 22,7,regular,Round 7,Kings Park Blue,Le Page,10,0,6,0,,,36,12,Completed,
UA014072,27 Mar 22,7,regular,Round 7,Parkdale,Aspendale,9,1,5,1,,,31,19,Completed,
UA014073,27 Mar 22,7,regular,Round 7,Elsternwick Park,GPHC 2,2,8,2,4,,,29,30,Completed,
pending-ua014-r7-gphc-1-bye,27 Mar 22,7,regular,Round 7,GPHC 1,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014082,03 Apr 22,8,regular,Round 8,GPHC 2,Parkdale,9,1,5,1,,,37,31,Completed,
UA014083,03 Apr 22,8,regular,Round 8,GPHC 1,Le Page,2,8,2,4,,,19,32,Completed,
UA014084,03 Apr 22,8,regular,Round 8,Elsternwick Park,Aspendale,7,3,3,3,,,27,25,Completed,
pending-ua014-r8-bye-kings-park-blue,03 Apr 22,8,regular,Round 8,Bye,Kings Park Blue,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014091,01 May 22,9,regular,Round 9,Kings Park Blue,Elsternwick Park,9,1,5,1,,,32,23,Completed,
UA014093,01 May 22,9,regular,Round 9,Le Page,GPHC 2,0,10,0,6,,,16,36,Completed,
UA014094,01 May 22,9,regular,Round 9,Aspendale,GPHC 1,8,2,4,2,,,33,19,Completed,
pending-ua014-r9-parkdale-bye,01 May 22,9,regular,Round 9,Parkdale,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014101,08 May 22,10,regular,Round 10,GPHC 1,Kings Park Blue,7,3,3,3,,,30,28,Completed,
UA014102,08 May 22,10,regular,Round 10,Elsternwick Park,Parkdale,5,5,3,3,,,22,22,Completed,
pending-ua014-r10-bye-le-page,08 May 22,10,regular,Round 10,Bye,Le Page,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua014-r10-gphc-2-aspendale,08 May 22,10,regular,Round 10,GPHC 2,Aspendale,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
UA014111,15 May 22,11,regular,Round 11,Kings Park Blue,GPHC 2,9,1,5,1,,,40,32,Completed,
UA014112,15 May 22,11,regular,Round 11,Parkdale,GPHC 1,1,9,1,5,,,19,35,Completed,
UA014113,15 May 22,11,regular,Round 11,Le Page,Elsternwick Park,2,8,2,4,,,23,29,Completed,
pending-ua014-r11-aspendale-bye,15 May 22,11,regular,Round 11,Aspendale,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014121,22 May 22,12,regular,Round 12,Aspendale,Le Page,2,8,2,4,,,20,30,Completed,
UA014122,22 May 22,12,regular,Round 12,GPHC 1,Elsternwick Park,7,3,3,3,,,25,19,Completed,
UA014124,22 May 22,12,regular,Round 12,Parkdale,Kings Park Blue,1,9,1,5,,,12,34,Completed,
pending-ua014-r12-bye-gphc-2,22 May 22,12,regular,Round 12,Bye,GPHC 2,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA014131,29 May 22,13,regular,Round 13,Le Page,Parkdale,7,3,3,3,,,29,27,Completed,
UA014132,29 May 22,13,regular,Round 13,Kings Park Blue,Aspendale,8,2,4,2,,,28,18,Completed,
UA014133,29 May 22,13,regular,Round 13,GPHC 2,GPHC 1,3,7,3,3,,,26,29,Completed,
