fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA005011,31 Jan 10,1,regular,Round 1,Dendy Park 1,Dendy Park 2,8,2,4,2,,,32,24,Completed,
UA005012,31 Jan 10,1,regular,Round 1,Maccabi,Mordialloc,2,8,2,4,,,19,29,Completed,
UA005013,31 Jan 10,1,regular,Round 1,Kooyong Scotch,BLTC,1,9,1,5,,,15,30,Completed,
UA005014,31 Jan 10,1,regular,Round 1,Le Page,Hampton,7,3,3,3,,,30,26,Completed,
UA005021,07 Feb 10,2,regular,Round 2,Hampton,Dendy Park 1,7,3,3,3,,,27,25,Completed,
UA005022,07 Feb 10,2,regular,Round 2,Dendy Park 2,Maccabi,9,1,5,1,,,35,22,Completed,
UA005023,07 Feb 10,2,regular,Round 2,Mordialloc,Kooyong Scotch,9,1,5,1,,,34,20,Completed,
UA005024,07 Feb 10,2,regular,Round 2,BLTC,Le Page,2,8,2,4,,,22,29,Completed,
UA005032,14 Feb 10,3,regular,Round 3,Maccabi,Hampton,9,1,5,1,,,32,14,Completed,
UA005033,14 Feb 10,3,regular,Round 3,Kooyong Scotch,Dendy Park 2,1,9,1,5,,,17,32,Completed,
pending-ua005-r3-dendy-park-1-bltc,14 Feb 10,3,regular,Round 3,Dendy Park 1,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua005-r3-le-page-mordialloc,14 Feb 10,3,regular,Round 3,Le Page,Mordialloc,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA005041,21 Feb 10,4,regular,Round 4,Mordialloc,Dendy Park 1,2,8,2,4,,,21,27,Completed,
UA005042,21 Feb 10,4,regular,Round 4,BLTC,Maccabi,10,0,6,0,,,36,12,Completed,
UA005043,21 Feb 10,4,regular,Round 4,Hampton,Kooyong Scotch,2,8,2,4,,,23,28,Completed,
UA005044,21 Feb 10,4,regular,Round 4,Dendy Park 2,Le Page,5,5,3,3,,,27,27,Completed,
UA005051,28 Feb 10,5,regular,Round 5,Kooyong Scotch,Le Page,1,9,1,5,,,10,36,Completed,
UA005052,28 Feb 10,5,regular,Round 5,Hampton,BLTC,7,3,3,3,,,27,24,Completed,
UA005053,28 Feb 10,5,regular,Round 5,Mordialloc,Dendy Park 2,0,10,0,6,,,18,37,Completed,
UA005054,28 Feb 10,5,regular,Round 5,Dendy Park 1,Maccabi,9,1,5,1,,,30,14,Completed,
UA005061,14 Mar 10,6,regular,Round 6,Maccabi,Kooyong Scotch,2,8,2,4,,,20,30,Completed,
UA005062,14 Mar 10,6,regular,Round 6,Le Page,Dendy Park 1,0,10,0,6,,,23,38,Completed,
UA005063,14 Mar 10,6,regular,Round 6,BLTC,Mordialloc,9,1,5,1,,,34,18,Completed,
UA005064,14 Mar 10,6,regular,Round 6,Dendy Park 2,Hampton,8,2,4,2,,,30,23,Completed,
UA005071,21 Mar 10,7,regular,Round 7,Dendy Park 1,Kooyong Scotch,10,0,6,0,,,36,6,Completed,
UA005072,21 Mar 10,7,regular,Round 7,Maccabi,Le Page,1,9,1,5,,,13,31,Completed,
UA005073,21 Mar 10,7,regular,Round 7,Hampton,Mordialloc,1,9,1,5,,,26,37,Completed,
UA005074,21 Mar 10,7,regular,Round 7,BLTC,Dendy Park 2,1,9,1,5,,,25,37,Completed,
UA005081,28 Mar 10,8,regular,Round 8,Dendy Park 2,Dendy Park 1,8,2,4,2,,,30,17,Completed,
UA005082,28 Mar 10,8,regular,Round 8,Mordialloc,Maccabi,10,0,6,0,,,38,19,Completed,
UA005083,28 Mar 10,8,regular,Round 8,BLTC,Kooyong Scotch,2,8,2,4,,,27,35,Completed,
UA005084,28 Mar 10,8,regular,Round 8,Hampton,Le Page,0,10,0,6,,,13,37,Completed,
UA005091,18 Apr 10,9,regular,Round 9,Dendy Park 1,Hampton,9,1,5,1,,,37,16,Completed,
UA005092,18 Apr 10,9,regular,Round 9,Maccabi,Dendy Park 2,1,9,1,5,,,20,31,Completed,
UA005093,18 Apr 10,9,regular,Round 9,Kooyong Scotch,Mordialloc,1,9,1,5,,,19,32,Completed,
UA005094,18 Apr 10,9,regular,Round 9,Le Page,BLTC,3,7,3,3,,,27,28,Completed,
UA005102,02 May 10,10,regular,Round 10,Hampton,Maccabi,8,2,4,2,,,31,28,Completed,
UA005103,02 May 10,10,regular,Round 10,Dendy Park 2,Kooyong Scotch,9,1,5,1,,,31,11,Completed,
UA005104,02 May 10,10,regular,Round 10,Mordialloc,Le Page,2,8,2,4,,,23,34,Completed,
pending-ua005-r10-bltc-dendy-park-1,02 May 10,10,regular,Round 10,BLTC,Dendy Park 1,,,,,,,,,Scheduled,No individual scorecard / no rubbers recorded
UA005111,09 May 10,11,regular,Round 11,Dendy Park 1,Mordialloc,7,3,3,3,,,28,21,Completed,
UA005112,09 May 10,11,regular,Round 11,Maccabi,BLTC,0,10,0,6,,,16,37,Completed,
UA005113,09 May 10,11,regular,Round 11,Kooyong Scotch,Hampton,3,7,3,3,,,27,29,Completed,
