fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA015011,18 Jul 26,1,Clarinda,Glen Huntly,2,8,2,4,,,16,31,Completed,
AA015012,18 Jul 26,1,BLTC,Stella Maris,9,1,5,1,,,32,17,Completed,
AA015013,18 Jul 26,1,St Joan of Arc,Ormond,8,2,4,2,,,31,23,Completed,
pending-aa015-r1-bye-mordialloc,18 Jul 26,1,Bye,Mordialloc,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA015021,25 Jul 26,2,Mordialloc,Clarinda,8,2,4,2,,,27,22,Completed,
AA015022,25 Jul 26,2,Glen Huntly,BLTC,9,1,5,1,,,31,15,Completed,
AA015023,25 Jul 26,2,Stella Maris,St Joan of Arc,3,7,3,3,,,22,29,Completed,
pending-aa015-r2-ormond-bye,25 Jul 26,2,Ormond,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA015031,1 Aug 26,3,Clarinda,Ormond,7,3,3,3,,,32,27,Completed,
AA015032,1 Aug 26,3,BLTC,Mordialloc,1,9,1,5,,,20,36,Completed,
AA015033,1 Aug 26,3,St Joan of Arc,Glen Huntly,1,9,1,5,,,20,36,Completed,
pending-aa015-r3-bye-stella-maris,1 Aug 26,3,Bye,Stella Maris,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA015041,8 Aug 26,4,Stella Maris,Clarinda,2,8,2,4,,,22,27,Completed,
AA015042,8 Aug 26,4,Ormond,BLTC,8,2,4,2,,,29,19,Completed,
AA015043,8 Aug 26,4,Mordialloc,St Joan of Arc,3,7,3,3,,,26,28,Completed,
pending-aa015-r4-glen-huntly-bye,8 Aug 26,4,Glen Huntly,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA015052,15 Aug 26,5,Mordialloc,Ormond,8,2,4,2,,,27,26,Completed,
AA015053,15 Aug 26,5,Stella Maris,Glen Huntly,0,10,0,6,,,12,36,Completed,
AA015054,15 Aug 26,5,Clarinda,BLTC,1,9,1,5,,,25,35,Completed,
pending-aa015-r5-st-joan-of-arc-bye,15 Aug 26,5,St Joan of Arc,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA015064,22 Aug 26,6,Glen Huntly,Mordialloc,6,4,3,1,,,23,15,Completed,
pending-aa015-r6-bltc-st-joan-of-arc,22 Aug 26,6,BLTC,St Joan of Arc,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
pending-aa015-r6-bye-clarinda,22 Aug 26,6,Bye,Clarinda,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa015-r6-ormond-stella-maris,22 Aug 26,6,Ormond,Stella Maris,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
AA015073,29 Aug 26,7,Mordialloc,Stella Maris,6,4,2,4,,,22,24,Completed,
AA015074,29 Aug 26,7,Ormond,Glen Huntly,1,9,1,5,,,17,34,Completed,
pending-aa015-r7-bltc-bye,29 Aug 26,7,BLTC,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa015-r7-clarinda-st-joan-of-arc,29 Aug 26,7,Clarinda,St Joan of Arc,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
pending-aa015-r8-glen-huntly-clarinda,5 Sep 26,8,Glen Huntly,Clarinda,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa015-r8-mordialloc-bye,5 Sep 26,8,Mordialloc,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa015-r8-ormond-st-joan-of-arc,5 Sep 26,8,Ormond,St Joan of Arc,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa015-r8-stella-maris-bltc,5 Sep 26,8,Stella Maris,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA015091,12 Sep 26,9,Clarinda,Mordialloc,8,2,4,2,,,32,23,Completed,
AA015092,12 Sep 26,9,BLTC,Glen Huntly,1,9,1,5,,,14,32,Completed,
AA015093,12 Sep 26,9,St Joan of Arc,Stella Maris,9,1,5,1,,,32,20,Completed,
pending-aa015-r9-bye-ormond,12 Sep 26,9,Bye,Ormond,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
