fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA009011,02 Feb 14,1,regular,Round 1,Mentone,Kooyong St Kevin's,2,8,2,4,,,27,32,Completed,
UA009012,02 Feb 14,1,regular,Round 1,Bodley Tennis Plus,BLTC,8,2,4,2,,,30,16,Completed,
UA009013,02 Feb 14,1,regular,Round 1,Hampton,Le Page,2,8,2,4,,,17,26,Completed,
UA009014,02 Feb 14,1,regular,Round 1,Kooyong Scotch,Coatesville,3,7,3,3,,,27,28,Completed,
UA009021,09 Feb 14,2,regular,Round 2,Coatesville,Mentone,3,7,3,3,,,30,31,Completed,
UA009022,09 Feb 14,2,regular,Round 2,Kooyong St Kevin's,Bodley Tennis Plus,2.5,7.5,2,3,,,19,26,Completed,
UA009023,09 Feb 14,2,regular,Round 2,BLTC,Hampton,8.5,1.5,4,1,,,28,16,Completed,
UA009024,09 Feb 14,2,regular,Round 2,Le Page,Kooyong Scotch,9,1,5,1,,,36,14,Completed,
UA009031,16 Feb 14,3,regular,Round 3,Mentone,Le Page,2,8,2,4,,,25,31,Completed,
UA009032,16 Feb 14,3,regular,Round 3,Bodley Tennis Plus,Coatesville,8,2,4,2,,,32,24,Completed,
UA009034,16 Feb 14,3,regular,Round 3,Kooyong Scotch,BLTC,7,3,3,3,,,29,23,Completed,
pending-ua009-r3-hampton-kooyong-st-kevin-s,16 Feb 14,3,regular,Round 3,Hampton,Kooyong St Kevin's,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA009041,23 Feb 14,4,regular,Round 4,BLTC,Mentone,8,2,4,2,,,31,30,Completed,
UA009042,23 Feb 14,4,regular,Round 4,Le Page,Bodley Tennis Plus,1,9,1,5,,,18,33,Completed,
UA009043,23 Feb 14,4,regular,Round 4,Coatesville,Hampton,9,1,5,1,,,33,17,Completed,
UA009044,23 Feb 14,4,regular,Round 4,Kooyong St Kevin's,Kooyong Scotch,2,8,2,4,,,20,30,Completed,
UA009051,02 Mar 14,5,regular,Round 5,Hampton,Kooyong Scotch,7,3,3,3,,,28,27,Completed,
UA009052,02 Mar 14,5,regular,Round 5,Coatesville,Le Page,1,9,1,5,,,16,33,Completed,
UA009053,02 Mar 14,5,regular,Round 5,BLTC,Kooyong St Kevin's,5,5,3,3,,,28,28,Completed,
UA009054,02 Mar 14,5,regular,Round 5,Mentone,Bodley Tennis Plus,3,7,3,3,,,32,33,Completed,
UA009062,16 Mar 14,6,regular,Round 6,Kooyong Scotch,Mentone,2,8,2,4,,,22,26,Completed,
UA009063,16 Mar 14,6,regular,Round 6,Le Page,BLTC,1,9,1,5,,,14,32,Completed,
UA009064,16 Mar 14,6,regular,Round 6,Kooyong St Kevin's,Coatesville,9,1,5,1,,,34,13,Completed,
pending-ua009-r6-bodley-tennis-plus-hampton,16 Mar 14,6,regular,Round 6,Bodley Tennis Plus,Hampton,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
