fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,status
UA009032,2 Aug 26,3,Coatesville,St James,No. 4,Kona Smith,E 4. Bernard Wouterse,Kona Smith,6-3,6,3,Completed
UA009033,2 Aug 26,3,BLTC,Lauriston,No. 1,Cohen Harris,Dhevesh Jayam,Cohen Harris,6-0,6,0,Completed
UA009033,2 Aug 26,3,BLTC,Lauriston,No. 2,Olivia Hansen,Kevin Liu,Olivia Hansen,6-1,6,1,Completed
UA009033,2 Aug 26,3,BLTC,Lauriston,No. 3,Orlando Corelli Tapia,Hayden Bode,Hayden Bode,0-6,0,6,Completed
UA009033,2 Aug 26,3,BLTC,Lauriston,No. 4,James Austin,Jeffrey Lam,Jeffrey Lam,1-6,1,6,Completed
UA009034,2 Aug 26,3,Beaumaris CC,Victory Park,No. 1,Tamara Tran,Torin Hunter,Torin Hunter,2-6,2,6,Completed
UA009034,2 Aug 26,3,Beaumaris CC,Victory Park,No. 2,Dexter Karlsson,Athharv Balachandar,Athharv Balachandar,1-6,1,6,Completed
UA009034,2 Aug 26,3,Beaumaris CC,Victory Park,No. 3,Joy Chang,Jake Milosz,Jake Milosz,0-6,0,6,Completed
UA009034,2 Aug 26,3,Beaumaris CC,Victory Park,No. 4,Jack Van Vuure,Jay Han,Jay Han,1-6,1,6,Completed
UA009041,9 Aug 26,4,Victory Park,Kooyong,No. 1,Torin Hunter,Aston Wollin,Aston Wollin,6-7,6,7,Completed
UA009041,9 Aug 26,4,Victory Park,Kooyong,No. 2,Athharv Balachandar,Freddy Nasis,Athharv Balachandar,6-0,6,0,Completed
UA009041,9 Aug 26,4,Victory Park,Kooyong,No. 3,Kiichi Usui,Ari Lohia,Ari Lohia,1-6,1,6,Completed
UA009041,9 Aug 26,4,Victory Park,Kooyong,No. 4,Jay Han,Kaeleb Sanghvi,Kaeleb Sanghvi,3-6,3,6,Completed
UA009042,9 Aug 26,4,Kings Park,Coatesville,No. 1,Lucas Huang,Dax Chen,Lucas Huang,7-5,7,5,Completed
UA009042,9 Aug 26,4,Kings Park,Coatesville,No. 2,Julian Wang,Xavier Pace,Julian Wang,6-2,6,2,Completed
UA009042,9 Aug 26,4,Kings Park,Coatesville,No. 3,James Shen,Noah Ueckerman,James Shen,7-5,7,5,Completed
UA009042,9 Aug 26,4,Kings Park,Coatesville,No. 4,Liam Huang,Kona Smith,Liam Huang,6-3,6,3,Completed
UA009044,9 Aug 26,4,Lauriston,Beaumaris CC,No. 1,Dhevesh Jayam,Amara Naing,Dhevesh Jayam,6-3,6,3,Completed
UA009044,9 Aug 26,4,Lauriston,Beaumaris CC,No. 2,Kevin Liu,Tamara Tran,Kevin Liu,6-3,6,3,Completed
