fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA018011,18 Jul 26,1,Clarinda,Hurlingham Park,0,7,0,3,0,5,17,33,Completed,
AA018012,18 Jul 26,1,BLTC White,BLTC Blue,2,6,1,2,2,4,20,35,Completed,
AA018013,18 Jul 26,1,Highmoor Uniting,Kings Park,5,2,2,1,3,2,26,22,Completed,
pending-aa018-r1-royal-ave-bye,18 Jul 26,1,Royal Ave,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA018022,25 Jul 26,2,Hurlingham Park,BLTC White,7,1,3,0,5,1,35,22,Completed,
AA018023,25 Jul 26,2,BLTC Blue,Highmoor Uniting,6,1,2,1,4,1,27,19,Completed,
AA018024,25 Jul 26,2,Kings Park,Royal Ave,1,7,0,3,1,5,26,36,Completed,
pending-aa018-r2-bye-clarinda,25 Jul 26,2,Bye,Clarinda,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA018033,1 Aug 26,3,Highmoor Uniting,Hurlingham Park,5,2,2,1,3,2,27,20,Completed,
AA018034,1 Aug 26,3,Royal Ave,BLTC Blue,0,7,0,3,0,5,9,33,Completed,
pending-aa018-r3-bltc-white-bye,1 Aug 26,3,BLTC White,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa018-r3-clarinda-kings-park,1 Aug 26,3,Clarinda,Kings Park,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
AA018041,8 Aug 26,4,BLTC Blue,Clarinda,7,0,3,0,5,0,33,13,Completed,
AA018042,8 Aug 26,4,Kings Park,BLTC White,1,7,0,3,1,5,17,37,Completed,
AA018044,8 Aug 26,4,Hurlingham Park,Royal Ave,7,0,3,0,5,0,32,10,Completed,
pending-aa018-r4-bye-highmoor-uniting,8 Aug 26,4,Bye,Highmoor Uniting,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA018051,15 Aug 26,5,Highmoor Uniting,Royal Ave,6,2,2,1,4,2,37,27,Completed,
AA018053,15 Aug 26,5,BLTC Blue,Hurlingham Park,1,7,0,3,1,5,29,37,Completed,
pending-aa018-r5-bye-kings-park,15 Aug 26,5,Bye,Kings Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa018-r5-clarinda-bltc-white,15 Aug 26,5,Clarinda,BLTC White,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
AA018061,22 Aug 26,6,BLTC White,Highmoor Uniting,1,7,0,3,1,5,26,36,Completed,
AA018062,22 Aug 26,6,Royal Ave,Clarinda,7,0,3,0,5,0,32,14,Completed,
AA018063,22 Aug 26,6,Kings Park,BLTC Blue,5,3,2,1,3,3,28,33,Completed,
pending-aa018-r6-hurlingham-park-bye,22 Aug 26,6,Hurlingham Park,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA018071,29 Aug 26,7,Clarinda,Highmoor Uniting,0,7,0,3,0,5,14,32,Completed,
AA018072,29 Aug 26,7,BLTC White,Royal Ave,2,6,1,2,2,4,21,36,Completed,
AA018074,29 Aug 26,7,Kings Park,Hurlingham Park,2,5,1,2,2,3,25,28,Completed,
pending-aa018-r7-bye-bltc-blue,29 Aug 26,7,Bye,BLTC Blue,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA018081,5 Sep 26,8,Hurlingham Park,Clarinda,7,1,3,0,5,1,37,22,Completed,
pending-aa018-r8-bltc-blue-bltc-white,5 Sep 26,8,BLTC Blue,BLTC White,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa018-r8-bye-royal-ave,5 Sep 26,8,Bye,Royal Ave,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa018-r8-kings-park-highmoor-uniting,5 Sep 26,8,Kings Park,Highmoor Uniting,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA018092,12 Sep 26,9,BLTC White,Hurlingham Park,6,1,2,1,4,1,28,19,Completed,
AA018093,12 Sep 26,9,Highmoor Uniting,BLTC Blue,2,5,1,2,2,3,22,27,Completed,
pending-aa018-r9-clarinda-bye,12 Sep 26,9,Clarinda,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa018-r9-royal-ave-kings-park,12 Sep 26,9,Royal Ave,Kings Park,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
