fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
pending-ua024-r1-black-rock-kings-park-white,24 Gre 18,1,regular,Round 1,Black Rock,Kings Park White,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r1-kings-park-blue-bltc,24 Gre 18,1,regular,Round 1,Kings Park Blue,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r1-parkdale-mentone,24 Gre 18,1,regular,Round 1,Parkdale,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r2-bltc-black-rock,25 Jul 21,2,regular,Round 2,BLTC,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r2-kings-park-white-parkdale,25 Jul 21,2,regular,Round 2,Kings Park White,Parkdale,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r2-mentone-kings-park-blue,25 Jul 21,2,regular,Round 2,Mentone,Kings Park Blue,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA024031,01 Aug 21,3,regular,Round 3,Parkdale,Kings Park Blue,10,0,6,0,,,36,8,Completed,
UA024032,01 Aug 21,3,regular,Round 3,Black Rock,Mentone,0,10,0,6,,,21,37,Completed,
UA024033,01 Aug 21,3,regular,Round 3,Kings Park White,BLTC,1,9,1,5,,,9,33,Completed,
pending-ua024-r4-bltc-parkdale,08 Aug 21,4,regular,Round 4,BLTC,Parkdale,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r4-kings-park-blue-black-rock,08 Aug 21,4,regular,Round 4,Kings Park Blue,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r4-mentone-kings-park-white,08 Aug 21,4,regular,Round 4,Mentone,Kings Park White,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r5-bltc-mentone,15 Aug 21,5,regular,Round 5,BLTC,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r5-kings-park-white-kings-park-blue,15 Aug 21,5,regular,Round 5,Kings Park White,Kings Park Blue,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r5-parkdale-black-rock,15 Aug 21,5,regular,Round 5,Parkdale,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r6-bltc-kings-park-blue,22 Aug 21,6,regular,Round 6,BLTC,Kings Park Blue,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r6-kings-park-white-black-rock,22 Aug 21,6,regular,Round 6,Kings Park White,Black Rock,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r6-mentone-parkdale,22 Aug 21,6,regular,Round 6,Mentone,Parkdale,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r7-black-rock-bltc,29 Aug 21,7,regular,Round 7,Black Rock,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r7-kings-park-blue-mentone,29 Aug 21,7,regular,Round 7,Kings Park Blue,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r7-parkdale-kings-park-white,29 Aug 21,7,regular,Round 7,Parkdale,Kings Park White,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA024081,05 Sep 21,8,regular,Round 8,Kings Park Blue,Parkdale,0,0,0,0,,,0,0,Completed,
UA024082,05 Sep 21,8,regular,Round 8,Mentone,Black Rock,0,0,0,0,,,0,0,Completed,
UA024083,05 Sep 21,8,regular,Round 8,BLTC,Kings Park White,0,0,0,0,,,0,0,Completed,
pending-ua024-r9-black-rock-kings-park-blue,12 Sep 21,9,regular,Round 9,Black Rock,Kings Park Blue,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r9-kings-park-white-mentone,12 Sep 21,9,regular,Round 9,Kings Park White,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua024-r9-parkdale-bltc,12 Sep 21,9,regular,Round 9,Parkdale,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA024101,07 Nov 21,10,regular,Round 10,Black Rock,Parkdale,0,10,0,6,,,8,36,Completed,
UA024102,07 Nov 21,10,regular,Round 10,Mentone,BLTC,3,7,3,3,,,21,25,Completed,
UA024103,07 Nov 21,10,regular,Round 10,Kings Park Blue,Kings Park White,8,2,4,2,,,26,18,Completed,
UA024111,14 Nov 21,11,regular,Round 11,Parkdale,Mentone,10,0,6,0,,,37,12,Completed,
UA024112,14 Nov 21,11,regular,Round 11,Kings Park Blue,BLTC,3,7,3,3,,,21,27,Completed,
UA024113,14 Nov 21,11,regular,Round 11,Black Rock,Kings Park White,1,9,1,5,,,11,32,Completed,
UA024121,21 Nov 21,12,regular,Round 12,Kings Park White,Parkdale,1,9,1,5,,,20,33,Completed,
UA024122,21 Nov 21,12,regular,Round 12,BLTC,Black Rock,8,2,4,2,,,31,27,Completed,
UA024123,21 Nov 21,12,regular,Round 12,Mentone,Kings Park Blue,7,3,3,3,,,26,23,Completed,
UA024131,28 Nov 21,13,regular,Round 13,Parkdale,Kings Park Blue,9,1,5,1,,,35,17,Completed,
UA024132,28 Nov 21,13,regular,Round 13,Black Rock,Mentone,2,8,2,4,,,21,32,Completed,
UA024133,28 Nov 21,13,regular,Round 13,Kings Park White,BLTC,7,3,3,3,,,26,23,Completed,
UA024141,05 Dec 21,14,regular,Round 14,BLTC,Parkdale,2,8,2,4,,,17,32,Completed,
UA024142,05 Dec 21,14,regular,Round 14,Mentone,Kings Park White,2,8,2,4,,,21,31,Completed,
