fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA002011,05 Feb 22,1,regular,Round 1,Carmelite Green,Port Melbourne Gold,2,8,2,4,,,20,30,Completed,
AA002013,05 Feb 22,1,regular,Round 1,Kooyong,Carmelite Blue,1,9,1,5,,,17,33,Completed,
pending-aa002-r1-carmelite-red-bye,05 Feb 22,1,regular,Round 1,Carmelite Red,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002021,12 Feb 22,2,regular,Round 2,Carmelite Blue,Carmelite Green,9,1,5,1,,,33,18,Completed,
AA002023,12 Feb 22,2,regular,Round 2,Port Melbourne Gold,Carmelite Red,3,7,3,3,,,29,32,Completed,
pending-aa002-r2-bye-kooyong,12 Feb 22,2,regular,Round 2,Bye,Kooyong,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002031,19 Feb 22,3,regular,Round 3,Carmelite Green,Carmelite Red,2,8,2,4,,,18,31,Completed,
AA002032,19 Feb 22,3,regular,Round 3,Kooyong,Port Melbourne Gold,8,2,4,2,,,34,16,Completed,
pending-aa002-r3-carmelite-blue-bye,19 Feb 22,3,regular,Round 3,Carmelite Blue,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002042,26 Feb 22,4,regular,Round 4,Port Melbourne Gold,Carmelite Blue,2,8,2,4,,,21,30,Completed,
AA002043,26 Feb 22,4,regular,Round 4,Carmelite Red,Kooyong,10,0,6,0,,,38,15,Completed,
pending-aa002-r4-bye-carmelite-green,26 Feb 22,4,regular,Round 4,Bye,Carmelite Green,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa002-r5-bye-port-melbourne-gold,05 Mar 22,5,regular,Round 5,Bye,Port Melbourne Gold,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa002-r5-carmelite-blue-carmelite-red,05 Mar 22,5,regular,Round 5,Carmelite Blue,Carmelite Red,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
pending-aa002-r5-carmelite-green-kooyong,05 Mar 22,5,regular,Round 5,Carmelite Green,Kooyong,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA002061,19 Mar 22,6,regular,Round 6,Port Melbourne Gold,Carmelite Green,8,2,4,2,,,31,22,Completed,
AA002063,19 Mar 22,6,regular,Round 6,Carmelite Blue,Kooyong,1,9,1,5,,,19,34,Completed,
pending-aa002-r6-bye-carmelite-red,19 Mar 22,6,regular,Round 6,Bye,Carmelite Red,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002071,26 Mar 22,7,regular,Round 7,Carmelite Green,Carmelite Blue,8,2,4,2,,,33,26,Completed,
AA002073,26 Mar 22,7,regular,Round 7,Carmelite Red,Port Melbourne Gold,8,2,4,2,,,31,21,Completed,
pending-aa002-r7-kooyong-bye,26 Mar 22,7,regular,Round 7,Kooyong,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002081,02 Apr 22,8,regular,Round 8,Carmelite Red,Carmelite Green,3,7,3,3,,,25,26,Completed,
AA002082,02 Apr 22,8,regular,Round 8,Port Melbourne Gold,Kooyong,7,3,3,3,,,26,23,Completed,
pending-aa002-r8-bye-carmelite-blue,02 Apr 22,8,regular,Round 8,Bye,Carmelite Blue,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002092,30 Apr 22,9,regular,Round 9,Carmelite Blue,Port Melbourne Gold,9,1,5,1,,,34,21,Completed,
AA002093,30 Apr 22,9,regular,Round 9,Kooyong,Carmelite Red,2,8,2,4,,,17,28,Completed,
pending-aa002-r9-carmelite-green-bye,30 Apr 22,9,regular,Round 9,Carmelite Green,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA002101,07 May 22,10,regular,Round 10,Kooyong,Carmelite Green,8,2,4,2,,,28,20,Completed,
