fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA019011,04 Feb 18,1,regular,Round 1,Hurlingham Park,St Louis de Mont,2,8,2,4,,,21,29,Completed,
UA019012,04 Feb 18,1,regular,Round 1,Black Rock A,Black Rock B,2,8,2,4,,,21,32,Completed,
UA019013,04 Feb 18,1,regular,Round 1,St Joan of Arc,St Pauls,1,9,1,5,,,21,33,Completed,
UA019014,04 Feb 18,1,regular,Round 1,St James,GPHC MLC,0,10,0,6,,,19,37,Completed,
UA019021,11 Feb 18,2,regular,Round 2,GPHC MLC,Hurlingham Park,10,0,6,0,,,36,10,Completed,
UA019022,11 Feb 18,2,regular,Round 2,St Louis de Mont,Black Rock A,2,8,2,4,,,29,27,Completed,
UA019023,11 Feb 18,2,regular,Round 2,Black Rock B,St Joan of Arc,9,1,5,1,,,35,14,Completed,
UA019024,11 Feb 18,2,regular,Round 2,St Pauls,St James,1,9,1,5,,,17,35,Completed,
UA019031,18 Feb 18,3,regular,Round 3,Hurlingham Park,St Pauls,9,1,5,1,,,33,17,Completed,
UA019033,18 Feb 18,3,regular,Round 3,St Joan of Arc,St Louis de Mont,1,9,1,5,,,20,33,Completed,
UA019034,18 Feb 18,3,regular,Round 3,St James,Black Rock B,7,3,3,3,,,26,23,Completed,
pending-ua019-r3-black-rock-a-gphc-mlc,18 Feb 18,3,regular,Round 3,Black Rock A,GPHC MLC,,,,,,,,,Forfeited By,No individual scorecard / no rubbers recorded
UA019041,25 Feb 18,4,regular,Round 4,Black Rock B,Hurlingham Park,7,3,3,3,,,32,29,Completed,
UA019042,25 Feb 18,4,regular,Round 4,St Pauls,Black Rock A,2,8,2,4,,,20,29,Completed,
UA019043,25 Feb 18,4,regular,Round 4,GPHC MLC,St Joan of Arc,10,0,6,0,,,36,9,Completed,
UA019044,25 Feb 18,4,regular,Round 4,St Louis de Mont,St James,8,2,4,2,,,28,18,Completed,
UA019051,04 Mar 18,5,regular,Round 5,St Joan of Arc,St James,3,7,3,3,,,27,32,Completed,
UA019052,04 Mar 18,5,regular,Round 5,GPHC MLC,St Pauls,10,0,6,0,,,36,4,Completed,
UA019053,04 Mar 18,5,regular,Round 5,Black Rock B,St Louis de Mont,2,8,2,4,,,26,28,Completed,
UA019054,04 Mar 18,5,regular,Round 5,Hurlingham Park,Black Rock A,9,1,5,1,,,32,12,Completed,
UA019061,18 Mar 18,6,regular,Round 6,Black Rock A,St Joan of Arc,9.5,0.5,5,0,,,36,25,Completed,
UA019062,18 Mar 18,6,regular,Round 6,St James,Hurlingham Park,3,7,3,3,,,25,29,Completed,
UA019063,18 Mar 18,6,regular,Round 6,St Pauls,Black Rock B,2,8,2,4,,,25,27,Completed,
UA019064,18 Mar 18,6,regular,Round 6,St Louis de Mont,GPHC MLC,0,10,0,6,,,9,36,Completed,
UA019071,25 Mar 18,7,regular,Round 7,Hurlingham Park,St Joan of Arc,7,3,3,3,,,28,22,Completed,
