fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA026011,19 Jul 26,1,Royal South Yarra,Lauriston,3,7,3,3,,,23,27,Completed,
UA026012,19 Jul 26,1,Tennis World,Coatesville,1,9,1,5,,,22,30,Completed,
UA026013,19 Jul 26,1,Black Rock,Mentone,10,0,6,0,,,36,7,Completed,
UA026014,19 Jul 26,1,BLTC,Victory Park,7,3,3,3,,,29,28,Completed,
UA026021,26 Jul 26,2,Victory Park,Royal South Yarra,2,8,2,4,,,15,27,Completed,
UA026022,26 Jul 26,2,Lauriston,Tennis World,2,8,2,4,,,28,29,Completed,
UA026023,26 Jul 26,2,Coatesville,Black Rock,9,1,5,1,,,33,14,Completed,
UA026024,26 Jul 26,2,Mentone,BLTC,0,10,0,6,,,9,36,Completed,
UA026031,2 Aug 26,3,Royal South Yarra,Mentone,9,1,5,1,,,33,9,Completed,
UA026032,2 Aug 26,3,Tennis World,Victory Park,8,2,4,2,,,28,20,Completed,
UA026033,2 Aug 26,3,Black Rock,Lauriston,7,3,3,3,,,26,23,Completed,
UA026034,2 Aug 26,3,BLTC,Coatesville,2,8,2,4,,,18,30,Completed,
UA026041,9 Aug 26,4,Coatesville,Royal South Yarra,1,9,1,5,,,17,31,Completed,
UA026043,9 Aug 26,4,Victory Park,Black Rock,7,3,3,3,,,28,23,Completed,
UA026044,9 Aug 26,4,Lauriston,BLTC,1,9,1,5,,,14,32,Completed,
pending-ua026-r4-mentone-tennis-world,9 Aug 26,4,Mentone,Tennis World,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA026051,16 Aug 26,5,Black Rock,BLTC,2,8,2,4,,,24,32,Completed,
UA026052,16 Aug 26,5,Victory Park,Mentone,8,2,4,2,,,28,17,Completed,
UA026053,16 Aug 26,5,Coatesville,Lauriston,3,7,3,3,,,22,23,Completed,
UA026054,16 Aug 26,5,Royal South Yarra,Tennis World,8,2,4,2,,,27,23,Completed,
UA026061,23 Aug 26,6,Tennis World,Black Rock,8,2,4,2,,,34,22,Completed,
UA026062,23 Aug 26,6,BLTC,Royal South Yarra,7,3,3,3,,,29,28,Completed,
UA026063,23 Aug 26,6,Mentone,Coatesville,1,9,1,5,,,13,34,Completed,
UA026064,23 Aug 26,6,Lauriston,Victory Park,9,1,5,1,,,35,16,Completed,
UA026071,30 Aug 26,7,Royal South Yarra,Black Rock,8,2,4,2,,,32,23,Completed,
UA026072,30 Aug 26,7,Tennis World,BLTC,2,8,2,4,,,22,33,Completed,
UA026073,30 Aug 26,7,Victory Park,Coatesville,0,10,0,6,,,16,36,Completed,
UA026074,30 Aug 26,7,Mentone,Lauriston,0,10,0,6,,,5,36,Completed,
UA026081,6 Sep 26,8,Lauriston,Royal South Yarra,9,1,5,1,,,33,16,Completed,
UA026082,6 Sep 26,8,Coatesville,Tennis World,9,1,5,1,,,35,25,Completed,
UA026083,6 Sep 26,8,Mentone,Black Rock,2,8,2,4,,,19,28,Completed,
UA026084,6 Sep 26,8,Victory Park,BLTC,2,8,2,4,,,19,31,Completed,
UA026091,13 Sep 26,9,Royal South Yarra,Victory Park,9,1,5,1,,,35,13,Completed,
UA026092,13 Sep 26,9,Tennis World,Lauriston,7,3,3,3,,,29,23,Completed,
UA026093,13 Sep 26,9,Black Rock,Coatesville,1,9,1,5,,,18,32,Completed,
UA026094,13 Sep 26,9,BLTC,Mentone,10,0,6,0,,,36,16,Completed,
