fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA025011,19 Jul 26,1,St Pats Mentone,Glen Huntly,10,0,6,0,,,37,11,Completed,
UA025013,19 Jul 26,1,Maccabi,Stella Maris,1,9,1,5,,,10,31,Completed,
UA025014,19 Jul 26,1,Lauriston Red,Lauriston Blue,2,8,2,4,,,27,26,Completed,
pending-ua025-r1-mentone-bye,19 Jul 26,1,Mentone,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025021,26 Jul 26,2,Lauriston Blue,St Pats Mentone,8,2,4,2,,,28,20,Completed,
UA025022,26 Jul 26,2,Glen Huntly,Mentone,0,10,0,6,,,1,36,Completed,
UA025024,26 Jul 26,2,Stella Maris,Lauriston Red,7,3,3,3,,,24,22,Completed,
pending-ua025-r2-bye-maccabi,26 Jul 26,2,Bye,Maccabi,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025031,2 Aug 26,3,St Pats Mentone,Stella Maris,10,0,6,0,,,37,21,Completed,
UA025032,2 Aug 26,3,Mentone,Lauriston Blue,3,7,3,3,,,26,30,Completed,
UA025033,2 Aug 26,3,Maccabi,Glen Huntly,7,3,3,3,,,24,21,Completed,
pending-ua025-r3-lauriston-red-bye,2 Aug 26,3,Lauriston Red,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025043,9 Aug 26,4,Lauriston Blue,Maccabi,8,2,4,2,,,32,17,Completed,
UA025044,9 Aug 26,4,Glen Huntly,Lauriston Red,1,9,1,5,,,18,35,Completed,
pending-ua025-r4-bye-st-pats-mentone,9 Aug 26,4,Bye,St Pats Mentone,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-ua025-r4-stella-maris-mentone,9 Aug 26,4,Stella Maris,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA025051,16 Aug 26,5,Maccabi,Lauriston Red,1,9,1,5,,,10,33,Completed,
UA025052,16 Aug 26,5,Lauriston Blue,Stella Maris,9,1,5,1,,,36,15,Completed,
UA025054,16 Aug 26,5,St Pats Mentone,Mentone,2,8,2,4,,,19,30,Completed,
pending-ua025-r5-bye-glen-huntly,16 Aug 26,5,Bye,Glen Huntly,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025061,23 Aug 26,6,Mentone,Maccabi,9,1,5,1,,,33,16,Completed,
UA025062,23 Aug 26,6,Lauriston Red,St Pats Mentone,1,9,1,5,,,25,32,Completed,
UA025064,23 Aug 26,6,Glen Huntly,Lauriston Blue,0,10,0,6,,,10,36,Completed,
pending-ua025-r6-stella-maris-bye,23 Aug 26,6,Stella Maris,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025071,30 Aug 26,7,St Pats Mentone,Maccabi,7,3,3,3,,,27,21,Completed,
UA025072,30 Aug 26,7,Mentone,Lauriston Red,2,8,2,4,,,20,32,Completed,
UA025074,30 Aug 26,7,Stella Maris,Glen Huntly,8,2,4,2,,,33,25,Completed,
pending-ua025-r7-lauriston-blue-bye,30 Aug 26,7,Lauriston Blue,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025081,6 Sep 26,8,Glen Huntly,St Pats Mentone,2,8,2,4,,,21,28,Completed,
UA025083,6 Sep 26,8,Stella Maris,Maccabi,8,2,4,2,,,27,16,Completed,
UA025084,6 Sep 26,8,Lauriston Blue,Lauriston Red,3,7,3,3,,,19,22,Completed,
pending-ua025-r8-bye-mentone,6 Sep 26,8,Bye,Mentone,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA025091,13 Sep 26,9,St Pats Mentone,Lauriston Blue,1,9,1,5,,,17,36,Completed,
UA025092,13 Sep 26,9,Mentone,Glen Huntly,10,0,6,0,,,36,11,Completed,
UA025094,13 Sep 26,9,Lauriston Red,Stella Maris,9,1,5,1,,,36,27,Completed,
pending-ua025-r9-maccabi-bye,13 Sep 26,9,Maccabi,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
